seq,fid,cam,tid,layer,gt_id,want,chef,matched,actual_top,n_pending,want_pending,want_score,want_dt,new_choice
seq_000,2465,camera_4,11,OK,3,4,4,True,3.8063,2,True,0.257,3.0,
seq_000,2515,camera_2,16,OK,3,4,4,True,3.8063,1,True,0.349,2.833,
seq_000,2555,camera_5,41,OK,10,4,4,True,3.8063,5,True,0.849,2.333,
seq_000,2595,camera_5,42,L1_ghost,,,4,True,,5,False,,,
seq_000,2620,camera_6,26,OK,3,4,4,True,1.7268,0,False,,,
seq_000,2645,camera_4,12,OK,9,4,4,True,3.8063,0,False,,,
seq_000,2685,camera_2,17,OK,9,4,4,True,3.8063,1,True,-0.8,5.0,
seq_000,2730,camera_6,27,L1_ghost,,,4,True,,0,False,,,
seq_000,2760,camera_7,10,L2_not_in_candidates,3,4,24,False,-3.5128,0,False,,,
seq_000,2775,camera_5,43,OK,1,4,4,True,3.8063,3,True,1.761,1.667,
seq_000,2820,camera_6,28,L2_not_in_candidates,5,23,4,True,2.0145,0,False,,,
seq_000,2840,camera_6,29,L1_ghost,,,4,True,,0,False,,,
seq_000,2855,camera_6,30,L1_ghost,,,4,True,,0,False,,,
seq_000,2860,camera_5,44,OK,6,4,4,True,3.8063,2,True,0.344,2.833,
seq_000,2860,camera_5,45,OK,10,4,4,True,3.8063,2,True,0.352,2.833,
seq_000,2915,camera_5,46,L1_ghost,,,4,True,,2,False,,,4
seq_000,2915,camera_7,11,L2_not_in_candidates,3,24,25,False,-4.1199,2,True,-0.565,4.667,
seq_000,2935,camera_2,18,OK,9,4,4,True,3.8063,0,False,,,
seq_000,2975,camera_5,47,L1_ghost,,,4,True,,2,False,,,
seq_000,3015,camera_1,10,L2_not_in_candidates,9,4,26,False,-2.5628,0,False,,,
seq_000,3015,camera_5,48,L1_ghost,,,4,True,,4,False,,,4
seq_000,3035,camera_2,19,OK,1,4,4,True,3.8063,0,False,,,
seq_000,3040,camera_3,9,L2_not_in_candidates,9,26,4,True,3.1131,0,False,,,
seq_000,3040,camera_5,49,OK,5,4,4,True,3.1131,3,True,-0.05,3.167,
seq_000,3080,camera_1,11,L1_ghost,,,27,False,,0,False,,,
seq_000,3080,camera_1,12,L2_not_in_candidates,1,4,28,False,-2.8873,0,False,,,
seq_000,3080,camera_5,50,L1_ghost,,,4,True,,5,False,,,
seq_000,3085,camera_5,51,L1_ghost,,,4,True,,5,False,,,
seq_000,3125,camera_3,10,OK,5,4,4,True,3.1131,1,True,-1.934,0.167,
seq_000,3140,camera_4,13,OK,6,4,4,True,3.1131,0,False,,,
seq_000,3150,camera_2,20,OK,5,4,4,True,3.8063,0,False,,,
seq_000,3210,camera_2,21,OK,6,4,4,True,3.8063,0,False,,,
seq_000,3255,camera_3,11,L2_not_in_candidates,1,28,4,True,3.8063,1,False,,,
seq_000,3275,camera_3,12,OK,9,4,4,True,3.8063,1,True,2.294,0.167,
seq_000,3305,camera_5,52,L1_ghost,,,4,True,,2,False,,,
seq_000,3340,camera_5,53,L1_ghost,,,4,True,,2,False,,,4
seq_000,3340,camera_6,31,OK,6,4,4,True,2.42,0,False,,,
seq_000,3345,camera_4,14,OK,10,4,4,True,2.42,0,False,,,
seq_000,3395,camera_3,13,OK,18,4,4,True,3.8063,2,True,-0.406,3.833,
seq_000,3415,camera_1,13,L1_ghost,,,29,False,,0,False,,,
seq_000,3420,camera_2,22,OK,5,4,4,True,3.8063,1,True,2.62,1.0,
seq_000,3440,camera_6,32,L1_ghost,,,4,True,,0,False,,,
seq_000,3445,camera_5,54,OK,1,4,4,True,3.8063,4,True,0.853,2.333,
seq_000,3455,camera_1,14,L1_ghost,,,30,False,,0,False,,,
seq_000,3475,camera_6,33,L2_not_in_candidates,3,25,4,True,2.7076,0,False,,,
seq_000,3535,camera_5,55,OK,9,4,4,True,3.8063,0,False,,,
seq_000,3575,camera_5,56,OK,10,4,4,True,3.8063,0,False,,,
seq_000,3580,camera_7,12,L2_not_in_candidates,6,4,31,False,-3.4133,1,False,,,
seq_000,3655,camera_2,23,OK,10,4,4,True,3.8063,1,True,0.796,2.333,
seq_000,3785,camera_5,57,OK,3,4,4,True,3.1131,1,True,2.543,1.0,
seq_000,3795,camera_6,34,OK,10,4,4,True,2.42,0,False,,,
seq_000,3805,camera_6,35,L2_not_in_candidates,6,31,4,True,2.42,0,False,,,
seq_000,3820,camera_6,36,L1_ghost,,,4,True,,0,False,,,
seq_000,3880,camera_6,37,L1_ghost,,,4,True,,1,False,,,
seq_000,3890,camera_2,24,OK,3,4,4,True,3.1131,0,False,,,
seq_000,3895,camera_1,15,L2_not_in_candidates,3,4,32,False,-3.3192,0,False,,,
seq_000,3905,camera_6,38,L1_ghost,,,4,True,,1,False,,,
seq_000,3910,camera_1,16,L1_ghost,,,33,False,,0,False,,,
seq_000,3925,camera_5,58,L2_not_in_candidates,3,32,4,True,3.1131,2,False,,,
seq_000,3930,camera_2,25,OK,3,4,4,True,3.1131,0,False,,,
seq_000,3935,camera_6,39,OK,9,4,4,True,2.42,3,True,-0.501,3.667,
seq_000,3945,camera_5,59,L1_ghost,,,4,True,,2,False,,,
seq_000,3955,camera_7,13,L2_not_in_candidates,10,4,34,False,-3.5508,1,False,,,
seq_000,3960,camera_1,17,L2_not_in_candidates,3,4,35,False,-4.03,1,False,,,32
seq_000,3975,camera_4,15,OK,1,4,4,True,3.1131,0,False,,,
seq_000,3985,camera_5,60,L1_ghost,,,4,True,,2,False,,,
seq_000,4025,camera_5,61,OK,6,4,4,True,3.8063,4,True,2.177,0.667,
seq_000,4050,camera_3,14,L2_not_in_candidates,3,35,4,True,3.8063,0,False,,,
seq_000,4055,camera_6,40,L1_ghost,,,4,True,,4,False,,,
seq_000,4065,camera_7,14,L2_not_in_candidates,9,4,36,False,-1.8985,0,False,,,
seq_000,4125,camera_2,26,OK,6,4,4,True,3.8063,0,False,,,
seq_000,4160,camera_4,16,OK,6,4,4,True,2.7076,0,False,,,
seq_000,4185,camera_5,62,L1_ghost,,,4,True,,1,False,,,
seq_000,4195,camera_5,63,L1_ghost,,,4,True,,0,False,,,
seq_000,4225,camera_3,15,L1_ghost,,,4,True,,0,False,,,
seq_000,4255,camera_6,41,L2_not_in_candidates,10,34,4,True,2.7076,0,False,,,
seq_000,4270,camera_6,42,L1_ghost,,,4,True,,0,False,,,
seq_000,4280,camera_5,64,L1_ghost,,,4,True,,2,False,,,4
seq_000,4295,camera_6,43,L1_ghost,,,4,True,,0,False,,,
seq_000,4330,camera_5,65,L1_ghost,,,4,True,,1,False,,,
seq_000,4350,camera_1,18,L2_not_in_candidates,3,4,37,False,-2.1501,1,False,,,
seq_000,4370,camera_5,66,L1_ghost,,,4,True,,2,False,,,4
seq_000,4400,camera_5,67,OK,1,4,4,True,3.8063,2,True,0.992,2.0,
seq_000,4430,camera_5,68,L1_ghost,,,4,True,,1,False,,,
seq_000,4450,camera_5,69,L1_ghost,,,4,True,,1,False,,,
seq_000,4450,camera_7,15,L3_not_top1,9,36,38,False,-0.8205,0,False,,,
seq_000,4470,camera_5,70,OK,10,4,4,True,3.8063,2,True,-1.934,0.167,
seq_000,4585,camera_2,27,OK,10,4,4,True,3.8063,0,False,,,
seq_000,4585,camera_5,71,OK,6,4,4,True,3.8063,5,True,-0.241,3.833,
seq_000,4630,camera_3,16,L2_not_in_candidates,3,37,4,True,3.1131,0,False,,,
seq_000,4630,camera_4,17,OK,10,4,4,True,3.1131,0,False,,,
seq_000,4640,camera_5,72,OK,10,4,4,True,3.8063,2,True,3.191,0.5,
seq_000,4700,camera_2,28,OK,3,4,4,True,3.8063,1,True,-0.01,2.833,
seq_000,4755,camera_1,19,L1_ghost,,,39,False,,0,False,,,
seq_000,4780,camera_5,73,L1_ghost,,,4,True,,2,False,,,4
seq_000,4785,camera_5,74,L1_ghost,,,4,True,,2,False,,,4
seq_000,4790,camera_5,75,OK,3,4,4,True,3.8063,2,True,1.081,1.833,
seq_000,4835,camera_5,76,L3_not_top1,9,38,4,True,3.1131,2,False,,,
seq_000,4855,camera_5,77,L1_ghost,,,4,True,,3,False,,,
seq_000,4870,camera_5,78,L1_ghost,,,4,True,,3,False,,,4
seq_000,4870,camera_5,79,L1_ghost,,,4,True,,3,False,,,4
seq_000,4880,camera_5,80,L1_ghost,,,4,True,,3,False,,,4
seq_000,4880,camera_5,81,L1_ghost,,,4,True,,3,False,,,
seq_000,4940,camera_4,18,OK,6,4,4,True,3.1131,0,False,,,
seq_000,4975,camera_5,82,L1_ghost,,,4,True,,6,False,,,
seq_000,5010,camera_2,29,OK,6,4,4,True,3.8063,0,False,,,
seq_000,5040,camera_2,30,OK,6,4,4,True,3.8063,1,True,3.545,0.5,
seq_000,5060,camera_5,83,OK,9,4,4,True,3.8063,2,True,0.267,2.333,
seq_000,5100,camera_5,84,OK,1,4,4,True,3.8063,3,True,2.622,0.667,
seq_000,5115,camera_4,19,OK,9,4,4,True,3.1131,1,True,-0.572,4.667,
seq_000,5155,camera_5,85,OK,10,4,4,True,3.8063,2,True,0.154,3.0,
seq_000,5215,camera_5,86,L1_ghost,,,4,True,,2,False,,,
seq_000,5255,camera_4,20,OK,3,4,4,True,3.1131,1,True,-0.248,4.0,
seq_000,5290,camera_4,21,OK,3,4,4,True,3.1131,0,False,,,
seq_000,5310,camera_5,87,OK,1,4,4,True,3.1131,3,True,1.095,0.333,
seq_000,5365,camera_5,88,OK,3,4,4,True,3.1131,4,True,0.972,2.167,
seq_000,5375,camera_5,89,OK,3,4,4,True,3.1131,5,True,2.963,0.833,
seq_000,5405,camera_5,90,L1_ghost,,,4,True,,3,False,,,
seq_000,5420,camera_5,91,L1_ghost,,,4,True,,3,False,,,
seq_000,5435,camera_5,92,L1_ghost,,,4,True,,5,False,,,
seq_000,5460,camera_6,44,L4_below_threshold,1,4,40,False,1.4084,0,False,,,
seq_000,5465,camera_5,93,L1_ghost,,,40,True,,6,False,,,4
seq_000,5510,camera_2,31,OK,10,4,4,True,3.1131,1,True,-0.376,4.167,
seq_000,5550,camera_5,94,L3_not_top1,3,4,40,True,3.8063,6,True,3.061,0.833,
seq_000,5555,camera_6,45,L1_ghost,,,41,False,,0,False,,,
seq_000,5610,camera_6,46,L3_not_top1,10,4,40,True,1.8603,2,False,,,
seq_000,5615,camera_7,16,L2_not_in_candidates,1,40,42,False,-4.2839,0,False,,,
seq_000,5635,camera_5,95,L1_ghost,,,4,True,,5,False,,,4
seq_000,5700,camera_5,96,L1_ghost,,,4,True,,4,False,,,4
seq_000,5760,camera_6,47,L1_ghost,,,40,True,,0,False,,,
seq_000,5790,camera_4,22,L3_not_top1,3,40,4,True,3.8063,0,False,,,
seq_000,5790,camera_7,17,L2_not_in_candidates,10,40,43,False,-2.8273,0,False,,,
seq_000,5840,camera_2,32,OK,3,4,4,True,3.8063,0,False,,,
seq_000,5925,camera_5,97,L1_ghost,,,4,True,,1,False,,,
seq_000,5970,camera_7,18,L2_not_in_candidates,10,43,44,False,-3.5324,0,False,,,
seq_000,6000,camera_6,48,L2_not_in_candidates,1,42,40,True,2.7076,1,False,,,
seq_000,6025,camera_4,23,OK,6,4,4,True,3.1131,0,False,,,
seq_000,6070,camera_2,33,OK,6,4,4,True,3.8063,0,False,,,
seq_000,6105,camera_6,49,L2_not_in_candidates,1,40,4,True,3.1131,1,True,-0.691,4.833,
seq_000,6125,camera_6,50,L1_ghost,,,4,True,,0,False,,,
seq_000,6160,camera_5,98,OK,9,4,4,True,3.8063,1,True,-2.1,0.5,
seq_000,6160,camera_6,51,OK,6,4,4,True,3.1131,1,False,,,
seq_000,6230,camera_5,99,L1_ghost,,,4,True,,1,False,,,
seq_000,6235,camera_5,100,L3_not_top1,10,44,4,True,3.1131,1,False,,,
seq_000,6245,camera_7,19,L2_not_in_candidates,6,4,45,False,-1.9829,0,False,,,
seq_000,6250,camera_7,20,L2_not_in_candidates,1,4,46,False,-2.1004,1,False,,,45
seq_000,6345,camera_7,21,L2_not_in_candidates,1,46,47,False,-3.6496,1,True,0.283,2.833,
seq_000,6350,camera_2,34,OK,10,4,4,True,3.1131,0,False,,,
seq_000,6360,camera_1,20,L2_not_in_candidates,10,4,48,False,-3.5234,0,False,,,
seq_000,6360,camera_1,21,L1_ghost,,,49,False,,0,False,,,
seq_000,6365,camera_5,101,L1_ghost,,,4,True,,3,False,,,4
seq_000,6395,camera_3,17,L2_not_in_candidates,10,48,4,True,3.1131,0,False,,,
seq_000,6450,camera_5,102,OK,9,4,4,True,3.1131,3,True,2.794,0.333,
seq_000,6470,camera_5,103,L1_ghost,,,4,True,,3,False,,,4
seq_000,6520,camera_7,22,L1_ghost,,,50,False,,1,False,,,
seq_000,6560,camera_7,23,L2_not_in_candidates,1,47,51,False,-5.8434,2,False,,,
seq_000,6640,camera_5,104,L1_ghost,,,40,True,,0,False,,,
seq_000,6665,camera_1,22,L1_ghost,,,52,False,,1,False,,,
seq_000,6665,camera_6,52,L3_not_top1,3,4,40,True,2.7076,0,False,,,
seq_000,6700,camera_6,53,L1_ghost,,,40,True,,1,False,,,40
seq_000,6765,camera_5,105,OK,10,4,4,True,3.1131,1,False,,,
seq_000,6770,camera_6,54,L1_ghost,,,40,True,,0,False,,,
seq_000,6845,camera_5,106,L1_ghost,,,4,True,,1,False,,,4
seq_000,6865,camera_1,23,L1_ghost,,,53,False,,1,False,,,
seq_000,6870,camera_5,107,L3_not_top1,3,40,4,True,3.1131,1,False,,,
seq_000,6905,camera_4,24,OK,9,4,4,True,3.1131,0,False,,,
seq_000,6995,camera_2,35,OK,3,4,4,True,3.8063,0,False,,,
seq_000,7005,camera_1,24,L1_ghost,,,54,False,,0,False,,,
seq_000,7090,camera_5,108,OK,10,4,4,True,3.8063,2,True,-0.347,4.167,
seq_000,7145,camera_5,109,L3_not_top1,6,45,4,True,3.8063,0,False,,,
seq_000,7160,camera_5,110,OK,10,4,4,True,3.8063,0,False,,,
seq_000,7180,camera_2,36,OK,3,4,4,True,3.8063,0,False,,,
seq_000,7240,camera_4,25,OK,10,4,4,True,3.1131,0,False,,,
seq_000,7240,camera_5,111,L1_ghost,,,4,True,,3,False,,,4
seq_000,7260,camera_5,112,OK,6,4,4,True,3.8063,3,True,1.551,1.167,
seq_000,7265,camera_3,18,OK,3,4,4,True,3.8063,0,False,,,
seq_000,7320,camera_1,25,L1_ghost,,,55,False,,0,False,,,
seq_000,7350,camera_5,113,OK,3,4,4,True,3.8063,3,True,1.785,1.333,
seq_000,7430,camera_5,114,L1_ghost,,,4,True,,3,False,,,
seq_000,7455,camera_2,37,OK,6,4,4,True,3.1131,0,False,,,
seq_000,7455,camera_6,55,OK,9,4,4,True,1.8603,0,False,,,
seq_000,7470,camera_5,115,L1_ghost,,,4,True,,3,False,,,4
seq_000,7480,camera_5,116,L1_ghost,,,4,True,,4,False,,,
seq_000,7490,camera_5,117,L3_not_top1,1,51,4,True,3.8063,4,False,,,
seq_000,7510,camera_2,38,OK,6,4,4,True,3.1131,1,True,1.997,1.5,
seq_000,7530,camera_2,39,OK,6,4,4,True,3.1131,2,True,3.57,0.333,4
seq_000,7625,camera_4,26,OK,3,4,4,True,3.1131,0,False,,,
seq_000,7655,camera_5,118,OK,10,4,4,True,3.8063,1,True,-1.797,0.167,
seq_000,7665,camera_6,56,L1_ghost,,,4,True,,0,False,,,
seq_000,7670,camera_6,57,L1_ghost,,,4,True,,0,False,,,
seq_000,7745,camera_2,40,OK,1,4,4,True,3.8063,1,True,-0.566,4.667,
seq_000,7790,camera_2,41,OK,3,4,4,True,3.8063,0,False,,,
seq_000,7800,camera_1,26,L2_not_in_candidates,1,4,56,False,-4.9923,0,False,,,
seq_000,7805,camera_3,19,L2_not_in_candidates,1,56,4,True,3.8063,0,False,,,
seq_000,7985,camera_5,119,OK,3,4,4,True,3.8063,1,True,3.54,0.5,
seq_000,8005,camera_2,42,OK,6,4,4,True,2.7076,1,True,-0.863,3.167,
seq_000,8025,camera_1,27,L2_not_in_candidates,6,4,57,False,-5.9254,1,False,,,
seq_000,8035,camera_1,28,L1_ghost,,,58,False,,1,False,,,
seq_000,8045,camera_3,20,L2_not_in_candidates,6,57,4,True,2.42,1,False,,,
seq_000,8095,camera_3,21,OK,3,4,4,True,2.7076,1,True,-1.742,4.667,
seq_000,8130,camera_6,58,L1_ghost,,,4,True,,0,False,,,
seq_000,8150,camera_6,59,L1_ghost,,,4,True,,0,False,,,
seq_000,8155,camera_1,29,L2_not_in_candidates,3,4,59,False,-2.8112,0,False,,,
seq_000,8160,camera_5,120,L1_ghost,,,4,True,,2,False,,,
seq_000,8205,camera_4,27,OK,10,4,4,True,3.1131,0,False,,,
seq_000,8245,camera_2,43,OK,10,4,4,True,3.8063,2,True,-1.191,1.0,
seq_000,8285,camera_1,30,L2_not_in_candidates,3,59,60,False,-5.013,2,True,0.762,1.833,
seq_000,8285,camera_3,22,L1_ghost,,,4,True,,0,False,,,
seq_000,8315,camera_1,31,L1_ghost,,,61,False,,2,False,,,
seq_000,8330,camera_3,23,L1_ghost,,,4,True,,1,False,,,
seq_000,8355,camera_5,121,OK,9,4,4,True,3.8063,2,True,0.126,2.833,
seq_000,8420,camera_3,24,L1_ghost,,,4,True,,1,False,,,
seq_000,8435,camera_2,44,OK,9,4,4,True,3.8063,0,False,,,
seq_000,8435,camera_2,45,L2_not_in_candidates,3,60,4,True,3.8063,0,False,,,
seq_000,8450,camera_1,32,L2_not_in_candidates,9,4,62,False,-2.1207,2,False,,,61
seq_000,8465,camera_3,25,L2_not_in_candidates,9,62,4,True,3.8063,1,False,,,
seq_000,8700,camera_3,26,OK,1,4,4,True,2.7076,1,True,0.112,3.0,
seq_000,8765,camera_2,46,OK,1,4,4,True,1.8603,0,False,,,
seq_000,8775,camera_2,47,OK,10,4,4,True,2.0145,0,False,,,
